index,md5,aHash,aHash_binary,dHash,dHash_binary,pHash,pHash_binary,wHash,wHash_binary
4702,a48b8550944bc11f1d2c5f2a59cbc27a,6817230798717443,0000000000011000001110000011110000111100000111000000001000000011,5238513654419478027,0100100010110010111100000110100111110010101101001101011000001011,10181008391314856589,1000110101001010001101010011000011001011100101111101101010001101,2600967583091793411,0010010000011000011111100011110001111110011111100001111000000011
4703,a49b2fd60733c3da4bc3ed6a36570a1f,8826629055214256128,0111101001111110011111000101110000111000001100000000000000000000,11720856293087940640,1010001010101000110110001011001011100100111010001001000000100000,15677372690358428494,1101100110010001001101110110011001001100001110010110001101001110,9114861777592516608,0111111001111110011111100111111001111110001100000000000000000000
4704,a4a013b4add34a6d1867860cdf7139ab,17578449005925130464,1111001111110011001100100011110001111100011111000110000011100000,4856682260915865600,0100001101100110011001101100100011010100110101001100100000000000,14244301511646723620,1100010110101101111011001100000101011011010000110011111000100100,17434052342872563936,1111000111110010001100100011110001111100011111000110000011100000
4705,a4a390f90be49b2bb51194d0844fed7f,8681953262342782464,0111100001111100011111100111111000111110011111000011111000000000,13956911297899065964,1100000110110000111010001110000011101000111010001111001001101100,15042139039162394423,1101000011000000011010011100001001101011010011110110011100110111,8682516212258445312,0111100001111110011111100111111000111100001111000001100000000000
4706,a4a5df91bd160f614fc1e5019e5c9e96,18445344426126936055,1111111111111011000001110000011100100111000001110000011111110111,10823061179753835430,1001011000110011001111001100110011001001100011000010101110100110,12955145849473021070,1011001111001001111011001000001011000011001101110011010010001110,18445343321749850099,1111111111111011000001100000011000000101000001100000011111110011
4707,a4b0615cb639607e6905437dd900c059,900295918756969984,0000110001111110011111100101111000111110001111100011111000000000,15625433206562669250,1101100011011000101100001011011011011010110000101100001011000010,9644541097476386439,1000010111011000010010110000011101111000101111000110111010000111,35604790301834752,0000000001111110011111100101111000111110001111100011111000000000
4708,a4b2a6883ba0451429df29506a1f6995,8970746589514578944,0111110001111110011111100111111001111110000100000011110000000000,14757960450996234450,1100110011001110110011101101011011010010111001001110100011010010,9349607905186180816,1000000111000000011110101101101001111001110011100110111011010000,8970746589513529344,0111110001111110011111100111111001111110000000000011100000000000
4709,a4b575a2e66d57b9f3b226fe19670ce8,71775567143788544,0000000011111110111111110111111101111111001010000110000000000000,13883659608093540546,1100000010101100101010101101101011010010110110101100000011000010,13975912414418517660,1100000111110100011010100100101100011001011000110011111010011100,2377618572045344768,0010000011111110111111110111111001111110001000100110000000000000
4710,a4b7b1390ca6d1d06a73468ff75b8ce9,18445344426126936055,1111111111111011000001110000011100100111000001110000011111110111,10823061179753835430,1001011000110011001111001100110011001001100011000010101110100110,12955145849473021070,1011001111001001111011001000001011000011001101110011010010001110,18445343321749850099,1111111111111011000001100000011000000101000001100000011111110011
4711,a4bc6c29565c0f1f3861cbc43c06f575,70518937204290368,0000000011111010100010001001100110001001111111111111001101000000,16758513458400892582,1110100010010010001100110011001100110011100101101001011010100110,17949948381013216057,1111100100011011000001101111001100011010111001000000101100111001,71644837111133008,0000000011111110100010001001100110001001111111111111001101010000
